epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,332.886,0.4632,0.35406,0.00166,0.97206,0.9391,0.98391,0.91003,0.38112,0.28604,0.00166,0.00010525,0.00010525,0.00010525
86,336.672,0.46957,0.34698,0.00166,0.95863,0.94415,0.98363,0.91106,0.38108,0.28151,0.00166,9.90625e-05,9.90625e-05,9.90625e-05
87,340.464,0.4601,0.36304,0.0017,0.97107,0.93525,0.98348,0.90943,0.38361,0.28443,0.00167,9.2875e-05,9.2875e-05,9.2875e-05
88,344.228,0.45921,0.35624,0.00171,0.95297,0.9517,0.98336,0.90595,0.3883,0.28609,0.00169,8.66875e-05,8.66875e-05,8.66875e-05
89,348.014,0.46375,0.34227,0.00166,0.95969,0.9503,0.98315,0.91186,0.38089,0.28425,0.00166,8.05e-05,8.05e-05,8.05e-05
90,351.816,0.45943,0.34443,0.0017,0.96362,0.9496,0.98367,0.91016,0.3804,0.28149,0.00166,7.43125e-05,7.43125e-05,7.43125e-05
91,356.028,0.44607,0.34846,0.00182,0.94927,0.95331,0.9827,0.90605,0.39705,0.27895,0.00173,6.8125e-05,6.8125e-05,6.8125e-05
92,359.613,0.43485,0.34947,0.0018,0.94596,0.9575,0.98234,0.90422,0.39302,0.27915,0.00171,6.19375e-05,6.19375e-05,6.19375e-05
93,363.191,0.44776,0.35309,0.00187,0.9392,0.9626,0.98239,0.90444,0.39178,0.27418,0.00171,5.575e-05,5.575e-05,5.575e-05
94,366.777,0.45405,0.40205,0.00196,0.95037,0.95671,0.98293,0.90494,0.3898,0.27033,0.00169,4.95625e-05,4.95625e-05,4.95625e-05
95,370.435,0.4227,0.31553,0.00169,0.9525,0.9557,0.98347,0.90693,0.38794,0.26901,0.00169,4.3375e-05,4.3375e-05,4.3375e-05
96,374.022,0.43954,0.33103,0.00181,0.95677,0.95022,0.98352,0.90657,0.39076,0.26941,0.00171,3.71875e-05,3.71875e-05,3.71875e-05
97,377.589,0.439,0.32615,0.00178,0.95467,0.95212,0.98339,0.906,0.38644,0.26948,0.00168,3.1e-05,3.1e-05,3.1e-05
98,381.168,0.42596,0.31976,0.00171,0.96081,0.94458,0.98351,0.90835,0.3844,0.26813,0.00168,2.48125e-05,2.48125e-05,2.48125e-05
99,384.732,0.42575,0.30833,0.0017,0.96095,0.94274,0.98325,0.90817,0.38417,0.26684,0.00168,1.8625e-05,1.8625e-05,1.8625e-05
100,388.301,0.4574,0.36507,0.0018,0.96189,0.94563,0.9834,0.90872,0.38253,0.26588,0.00167,1.24375e-05,1.24375e-05,1.24375e-05
